date,homeTeam,awayTeam,homeGoals,awayGoals,winner
2024-04-13 16:45:00+00:00,AZ,RKC Waalwijk,3,2,HOME_TEAM
2024-04-13 19:00:00+00:00,Almere City FC,Sparta Rotterdam,2,3,AWAY_TEAM
2024-04-14 10:15:00+00:00,Heracles Almelo,SC Heerenveen,0,2,AWAY_TEAM
2024-04-14 12:30:00+00:00,Fortuna Sittard,Feyenoord Rotterdam,0,1,AWAY_TEAM
2024-04-14 12:30:00+00:00,FC Utrecht,Go Ahead Eagles,2,1,HOME_TEAM
2024-04-14 14:45:00+00:00,AFC Ajax,FC Twente '65,2,1,HOME_TEAM
2024-04-14 18:00:00+00:00,NEC,PEC Zwolle,2,2,DRAW
2024-04-24 16:45:00+00:00,FC Twente '65,Almere City FC,3,1,HOME_TEAM
2024-04-24 19:00:00+00:00,AFC Ajax,SBV Excelsior,2,2,DRAW
2024-04-25 16:55:00+00:00,SC Heerenveen,PSV,0,8,AWAY_TEAM
2024-04-25 19:00:00+00:00,Go Ahead Eagles,Feyenoord Rotterdam,1,3,AWAY_TEAM
2024-04-28 10:15:00+00:00,NEC,AZ,0,3,AWAY_TEAM
2024-04-28 10:15:00+00:00,PEC Zwolle,Heracles Almelo,3,1,HOME_TEAM
2024-04-28 12:30:00+00:00,Sparta Rotterdam,FC Volendam,1,0,HOME_TEAM
2024-04-28 12:30:00+00:00,RKC Waalwijk,FC Utrecht,2,2,DRAW
2024-04-28 14:45:00+00:00,SBV Vitesse,Fortuna Sittard,3,2,HOME_TEAM
2024-05-03 18:00:00+00:00,Almere City FC,SC Heerenveen,1,1,DRAW
2024-05-03 18:00:00+00:00,Fortuna Sittard,Go Ahead Eagles,0,0,DRAW
2024-05-05 10:15:00+00:00,PSV,Sparta Rotterdam,4,2,HOME_TEAM
2024-05-05 10:15:00+00:00,Heracles Almelo,RKC Waalwijk,0,5,AWAY_TEAM
2024-05-05 12:30:00+00:00,FC Utrecht,SBV Vitesse,1,0,HOME_TEAM
2024-05-05 12:30:00+00:00,FC Volendam,AFC Ajax,1,4,AWAY_TEAM
2024-05-05 14:45:00+00:00,AZ,FC Twente '65,2,1,HOME_TEAM
2024-05-05 18:00:00+00:00,Feyenoord Rotterdam,PEC Zwolle,5,0,HOME_TEAM
2024-05-06 18:00:00+00:00,SBV Excelsior,NEC,0,3,AWAY_TEAM
2024-05-12 12:30:00+00:00,RKC Waalwijk,PEC Zwolle,1,1,DRAW
2024-05-12 12:30:00+00:00,NEC,Feyenoord Rotterdam,2,3,AWAY_TEAM
2024-05-12 12:30:00+00:00,Go Ahead Eagles,AZ,0,3,AWAY_TEAM
2024-05-12 12:30:00+00:00,Fortuna Sittard,PSV,1,1,DRAW
2024-05-12 12:30:00+00:00,SBV Excelsior,Heracles Almelo,4,0,HOME_TEAM
2024-05-12 12:30:00+00:00,FC Twente '65,FC Volendam,7,2,HOME_TEAM
2024-05-12 12:30:00+00:00,SC Heerenveen,SBV Vitesse,1,3,AWAY_TEAM
2024-05-12 12:30:00+00:00,AFC Ajax,Almere City FC,3,0,HOME_TEAM
2024-05-12 12:30:00+00:00,FC Utrecht,Sparta Rotterdam,0,1,AWAY_TEAM
2024-05-19 12:30:00+00:00,Sparta Rotterdam,SC Heerenveen,2,1,HOME_TEAM
2024-05-19 12:30:00+00:00,PSV,RKC Waalwijk,3,1,HOME_TEAM
2024-05-19 12:30:00+00:00,SBV Vitesse,AFC Ajax,2,2,DRAW
2024-05-19 12:30:00+00:00,PEC Zwolle,FC Twente '65,1,2,AWAY_TEAM
2024-05-19 12:30:00+00:00,Feyenoord Rotterdam,SBV Excelsior,4,0,HOME_TEAM
2024-05-19 12:30:00+00:00,Heracles Almelo,Fortuna Sittard,0,0,DRAW
2024-05-19 12:30:00+00:00,FC Volendam,Go Ahead Eagles,1,2,AWAY_TEAM
2024-05-19 12:30:00+00:00,AZ,FC Utrecht,3,3,DRAW
2024-05-19 12:30:00+00:00,Almere City FC,NEC,1,4,AWAY_TEAM
2024-08-09 18:00:00+00:00,FC Groningen,NAC Breda,4,1,HOME_TEAM
2024-08-10 14:30:00+00:00,Feyenoord Rotterdam,Willem II Tilburg,1,1,DRAW
2024-08-10 16:45:00+00:00,NEC,FC Twente '65,1,2,AWAY_TEAM
2024-08-10 18:00:00+00:00,Almere City FC,AZ,0,1,AWAY_TEAM
2024-08-10 19:00:00+00:00,PSV,RKC Waalwijk,5,1,HOME_TEAM
2024-08-11 10:15:00+00:00,Sparta Rotterdam,Heracles Almelo,0,0,DRAW
2024-08-11 12:30:00+00:00,FC Utrecht,PEC Zwolle,1,0,HOME_TEAM
2024-08-11 12:30:00+00:00,Go Ahead Eagles,Fortuna Sittard,0,2,AWAY_TEAM
2024-08-11 14:45:00+00:00,AFC Ajax,SC Heerenveen,1,0,HOME_TEAM
2024-08-16 18:00:00+00:00,Fortuna Sittard,Almere City FC,3,0,HOME_TEAM
2024-08-17 14:30:00+00:00,SC Heerenveen,FC Utrecht,1,1,DRAW
2024-08-17 16:45:00+00:00,FC Twente '65,Sparta Rotterdam,1,1,DRAW
2024-08-17 18:00:00+00:00,AZ,NEC,1,0,HOME_TEAM
2024-08-17 19:00:00+00:00,RKC Waalwijk,FC Groningen,1,2,AWAY_TEAM
2024-08-18 10:15:00+00:00,Heracles Almelo,PSV,1,3,AWAY_TEAM
2024-08-18 12:30:00+00:00,PEC Zwolle,Feyenoord Rotterdam,1,5,AWAY_TEAM
2024-08-18 12:30:00+00:00,Willem II Tilburg,Go Ahead Eagles,2,0,HOME_TEAM
2024-08-18 14:45:00+00:00,NAC Breda,AFC Ajax,2,1,HOME_TEAM
2024-08-24 16:45:00+00:00,NEC,PEC Zwolle,1,0,HOME_TEAM
2024-08-24 18:00:00+00:00,Almere City FC,PSV,1,7,AWAY_TEAM
2024-08-24 19:00:00+00:00,NAC Breda,FC Utrecht,1,2,AWAY_TEAM
2024-08-25 10:15:00+00:00,FC Groningen,AZ,0,0,DRAW
2024-08-25 12:30:00+00:00,Sparta Rotterdam,Feyenoord Rotterdam,1,1,DRAW
